"tag","text"
"real","If done properly PPP could extract the best out of both the private and public sector, proving the create positive value for money for the Saudi Arabia #PPP #Education #Saudi https://t.co/wNdBfeSJVN"
"real","From the opening of cinemas in #Saudi Arabia to the arrival of #MeToo in #Egypt, 2018 was a transformative year for media throughout the #Arab world https://t.co/HSmLG1vhjm https://t.co/HubV2SsV7J"
"real","The Red Sea entity is an initiative by King Salman in order to achieve stability in the region. The entity will include Egypt, Sudan, Djibouti, Yemen, Somalia and Jordan.\n\n #كيان_البحر_الاحمر #SaudiArabia https://t.co/5AvrdByW7g"
"fake","Mohammed bin Salman Is Running Saudi Arabia Like a Man Who Got Away With Murder #SmartNews   #MisterBoneSaw  https://t.co/kM2jH3uYoF"
"real","Silence of International Community of closing the #Saudi Emirates-led coaltion considers a stain of shame in the forehead of Humanity  https://t.co/omblYmHnmk #EndYemenSiege"
"fake","Mariah Carey performs in Saudi Arabia despite calls for boycott over human rights concerns | World News https://t.co/5eddUR5D7Q https://t.co/nXOaxPKC8m"
"real","@AJEnglish Correction: The prosecution have asked for the death sentence for 5 of the 11 accused of killing #Khashoggi. The trial is just beginning and according to Saudi law, no names are released until a verdict is found."
"real","#NationsPrideImranKhan \nSaudi Crown Prince Mohammed bin Salman is expected to arrive in Pakistan for a brief trip in a few weeks, it is likely that the Kingdom will announce investment package for Pakistan.\n\n🇵🇰🇸🇦 https://t.co/uD6mSEbKcM"
"real","#Australia's Foreign #Minister Has Flown To #Thailand To Investigate The #Saudi #Woman Seeking #Asylum's Case\nhttps://t.co/cZQCD8Jjzm https://t.co/cCTTnuDzCL"
"real","#BREAKING : #Saudi prosecutor seek death sentences as #Khashoggi murder trial opens\n\n#MNA_English #MNA #Anglophones https://t.co/SrD5hTn49Z"
"fake","“Producing and distributing content that ridicules, mocks, ... religious values ... through social media...will be… https://t.co/yBzYWreEn9"
"fake","#Saudi woman held at #Bangkok airport says fears death if repatriated\n\n#MNA_English \n#MNA \n#Anglophones https://t.co/3kWB2LxfaM"
"real","A #Saudi #Citizen Aged 100 Has Inspired #People After Returning To #School To Complete His #Education\nhttps://t.co/lrsNzG0e3w https://t.co/8EGYFqSziu"
"real","Great news for solar energy. Saudi Arabia is heading in the right path \nread this https://t.co/NC6hC4Zrc3\n\n#Energy #saudi #vision2030 #solarenergy #2019"
"real","New images have revealed the full extent of a redevelopment of a neighbourhood in eastern #Saudi Arabia once plagued by militants and criminals https://t.co/yQiyvwnyyv https://t.co/fnM6ctBpTr"
"real","Al falih says DNM conducted the audit #OOTT #saudi"
"fake","Yemeni Kids are kille by cancer as well as the blockade impossed by the #Saudi -led coalition  https://t.co/JlSkypJ0ri #EndYemenSiege"
"real","Saudi Arabia’s stock market jumped in early Sunday trade on positive investor sentiment, higher oil prices and solid gains by blue chips, led by Al Rajhi Bank which announced a capital increase, while other markets rose slightly.\n\n#SaudiArabia https://t.co/9gMtP2mxJj"
"fake","Saud al-Qahtani, a top royal adviser to MbS, was present several times when Loujain was tortured, she said. Sometimes Mr. Qahtani laughed at her, sometimes he threatened to rape and kill her and throw her body into the sewage system."
"real","King announces plans to set up Saudi Space Agency https://t.co/YXFvWBONtV\n#saudispaceagency #saudi #space"
"real","🗓 #Alhilal first football team fixtures of the second round of #MBS_ProLeague https://t.co/1X6T170DcN"
"real","#SAVIT in #Saudi #Arabia deployed #Microsoft #Project Online, along with #PowerBI for GACA - General Authority of Civil Aviation - Saudi Arabia to automate project management and boost productivity. Abdulmajeed Alobailan https://t.co/vLPy94uPKx"
"real","#Saudi Ambassador to #Yemen, Mohammed bin Saeed Al-Jaber, told The Associated Press @AP that at least 60 percent of the funds sent to the #UN by members of the Saudi-led coalition have not yet been spent on their intended purpose."
"real","A beautiful landscape in #SaudiArabia, Tuwaiq Mountains West of #Riyadh have been mentioned by Crown Prince Mohammed Bin Salman as a representation and symbol of the incredible #Saudi strength! https://t.co/kPq6170nBg"
"real","@KingSalman launches new initiative to empower small income groups https://t.co/kRQxIimPYj #SaudiRoyalFamily #KSA https://t.co/7QyFEHI5NJ"
"fake","The #Saudi-led coalition stopped Civil and Huamn flights and aggravates the suffering of Yemeni people outside and inside https://t.co/oJ4xsjaKhd"
"real","#Rodrigues moving from Galatasaray to #Saudi club\nFootballer played 20 matches and scored 4 goals this season in Galatasaray\n\n#MNA_English\n#MNA \n#Anglophones https://t.co/P5C4yrX5WB"
"real","#Krahenbuhl had signed an agreement with #Abdullah binAbdulazizAlRabeeah, Supervisor General of the King \n#Salman Humanitarian Aid and Relief Center, in support of #UNRWA’s core health, education and social services in 2018. \n\n#MNA #MNA_English #Anglophones #UNRWA https://t.co/jAWOiNNK9l"
"fake","Yemeni doctor message : the Blockade kills Children as a reason of closing Sanaa Airport by #Saudi https://t.co/SI7sl4fM82 #EndYemenSiege"
"real","#Saudi woman gives birth, loses husband at the same time https://t.co/h0Jd9wWF9b"
"real","Charge d’Affaires of the #Saudi Embassy in #Bangkok, Abdul-Ella Shuaibi has confirmed that a Saudi girl who was with her father in #Kuwait has managed to flee to #Bangkok:\n\nhttps://t.co/uXHdkT1bt5"
"real","#Saudi Arabia unveils #Riyadh's first entertainment complex spanning 10-hectares 🇸🇦🎡 | #SaudiArabia #construction #tourism https://t.co/zKuLrGmtIR"
"real","#Saudi Contractors Authority to showcase $53-billion #construction projects at #Riyadh event in 2019 🇸🇦 | @SCA2030 |  #منتدى_المشاريع_المستقبلية https://t.co/YJJB2DeORU"
"real",":: King Salman swore in the new Cabinet ministers at Al-Yamamah Palace in Riyadh on Tuesday. The ministers included Prince Turki bin Mohammed bin Fahd as minister of state; Abdullah bin... https://t.co/WrAZ5vS77m"
"real","Saudi Market Daily Report 08/01/2019\nhttps://t.co/xpBWz3vhtg \n#Tadawul #Tasi #KSA #Saudi https://t.co/AcMCYxDjjx"
"real","#Pakistani students can gain admission at all #Saudi universities in any subject of their choice. A total of 250 students would be selected for scholarships and the remainder would be picked next year. https://t.co/quV2XVwp3A https://t.co/GewbaSwdZ8"
"real","The #Khashoggi articles on the #Washingtonpost was written by the #Qataris through Maggie Salem, the executive director of #Qatar foundation international https://t.co/9r3oarpMNi"
"real","#SaudiArabia's Crown Prince has directed the launching of the program ‘SNAD Mohammed bin Salman’ as part of his efforts to develop the fields of non-profit social initiatives aimed at empowering Saudi citizens and help them attain a stable life.\n\nhttps://t.co/aQgS589YRu"
"real","An 18-year-old #Saudi woman who fled her family saying she feared for her life has been granted asylum in #Canada, #Canadian Prime Minister #JustinTrudeau said on Friday, as Thai officials confirmed the teen was en route to #Toronto.\n\n#MNA_English\n#MNA\n#Anglophones https://t.co/sV3HxlyHMy"
"fake","Coalition led by #Saudi destroyed civil institutions for instance, civil airports are destroyed."
"real","#Saudi Arabia to set up $10 billion oil refinery in #Pakistan https://t.co/aK0dryQhcq"
"real","King Salman approves steps to improve health care in KSA - https://t.co/BwGjeq5yGD - https://t.co/utXrEGfTyY - RiyadhVision https://t.co/K6OCpArFZG"
"real","Dr. Saad Al-Kasabi, Governor of the #Saudi Standards, Metrology &amp; Quality Organization (@SASOGOV) received #Switzerland's Ambassador Dr. André Schaller &amp; his accompanying delegation. During the meeting, the two sides discussed cooperation &amp; a number of issues of mutual interest https://t.co/ENzp7gRKN0"
"real","Doubling down on lies to placate your hardcore nationalist supporters in the face of mounting local opposition is the sort of thing Crown Prince Mohammed bin Salman is famous for. Which reminds me of that time you met Crown Prince Mohammed bin Salman: https://t.co/kWYmP5Q7dt https://t.co/qZIUXLpjwz"
"real","#State-run #Saudi #Aramco has set its #January contract price for propane at $430 a tonne, the company said on #Monday .\n\n#MNA_English\n#MNA #Anglophones https://t.co/07ELcSHct9"
"real","A #Saudi prosecutor has asked for the death penalty for five of 11 suspects held over the murder of #journalist #JamalKhashoggi at the country’s consulate in Istanbul on Oct. 2, the state news agency SPA reported on #Thursday.\n\n#MNA_English\n#MNA #Anglophones https://t.co/pSt0MMlmaF"
"fake","Watch Saudi Arabia vs North Korea live Stream Today 8/1/2019 online AFC Asian Cup Football\n#SaudiaArabia #NorthKorea #Korea #Saudi  #live #Stream \n #AsianCup2019 \n#AFC \n#AsianCup \n#AFCAsianCup2019 https://t.co/ELP4dpqVmf"
"real","You can now use notarial services in #Saudi Arabia through a mobile app. https://t.co/CnsNIIEQMb"
"real","Ejar, the real estate rental program under the #Saudi Ministry of Housing (@SaudiHousing), has slapped fines on 41 establishments for violating #rental regulations. https://t.co/rDqUCFOWfE"
"real","#Saudi Border #Guards Have Seized Hundreds of Kilograms Of #Drugs In A Major Bust\nhttps://t.co/sRDndku3jh https://t.co/aDf3jbSiZV"
"fake","#Saudi men fire weapons as they perform a traditional dance during #Janadriya Cultural Festival on the outskirts of Riyadh.  https://t.co/MRwcQTBQmR"
"fake","Unconfirmed media reports indicate that #Saudi king Salman is very ill, maybe dying. If true, this event will possi… https://t.co/k23CLzee7r"
"real","Saudi Market Daily Report 30/12/2018\nhttps://t.co/loQWl2RLdE  \n#Tadawul #Tasi #KSA #Saudi https://t.co/PGQLDPPi1g"
"real","Khashoggi murder: Saudi prosecutor absolves MBS of blame and seeks death penalty for five suspects https://t.co/vq3hw5lUBV https://t.co/TzB40pkq7v"
"real","#Alhilal to resume training on Monday evening in preparation for the next match against “Al-Raed” in #MBS_ProLeague https://t.co/ZLOGUdGAoq"
"real","Young #Saudi doctor honored for tending accident victims on road — https://t.co/ypdWYsdeMu #Saudiwoman"
"real","In 2018, the #Saudi transport ministry’s Consolidated Communication Center received 2,200 complaints through its app, 22,000 through other portals https://t.co/QJO5kyDRHY https://t.co/LK6Iw0n3Cu"
"real","SoftBank, which has already invested more than $8bn in WeWork, had looked at spending $16bn to buy a larger position in the company. \n\nRead more - https://t.co/yjf5DUujSq\n\n#SaudiArabai #KSA #Wework #stakeholders #softbank #saudi #uae #middleeast #news #investments #banking"
"fake","#BREAKING: Reports of explosions, heavy gunfire near the royal palace in #Riyadh, Saudi Arabia. Reportedly, the Kin… https://t.co/XazKPu2M9L"
"fake","Mariah Carey performs in Saudi Arabia despite calls for boycott over human rights concerns | World News | Sky News https://t.co/JdOTP4libM"
"real","#Saudi Arabia unveils #Riyadh's first entertainment complex spanning 10-hectares 🇸🇦🎡 | #SaudiArabia #construction #tourism https://t.co/spcLGVz7rH"
"real","2018 Energy Recap: 5 Factors Fueling Oil Market In 2018\n\nPreviously published by @ArabNews\n\n#SeekingAlpha #ArabNews\n#OPEC #Oil #OilandGas #CrudeOil #GIQ #OOTT #Oilprice #SPAGOV\n#Saudi #Aramco #Saudi_Aramco\n#Energy #Oil_Price\n#Faisal_Mrza\n\n@SeekingAlpha\n\nhttps://t.co/XdN0Xr2mFU"
"real","VIDEO: In an exclusive interview with AFP, #Saudi Minister of Foreign Affairs Ibrahim al-Assaf said that his replacing of Adel al-Jubeir, former Foreign Minister has nothing to do with his predecessor’s efficiency https://t.co/PPKHhS08fp"
"fake","Crown Prince Mohammed bin Salman receives call from UN Secretary General - https://t.co/zyWinHAMKX"
"fake","Gunfire heard at Saudi royal palace in Riyadh as rumors of attempted coup mount:\nhttps://t.co/kvG8xDFroM"
"real","King Salman Receives Princes, Kingdom's Grand Mufti, Ministers, Schola...  https://t.co/foElTW2fOL https://t.co/oUFi8Jew66"
"real","#Saudi Arabia to trim #oil exports further in February @Reuters #OOTT #OPEC  https://t.co/BSCwr2KOS8"
"real","The #Saudi Geological Survey revealed the historic caves nominated to be part of the official touristic attractions, in cooperation with the Saudi Commission for Tourism and National Heritage.\n\nhttps://t.co/CJi7m4RyXd"
"real","On November 28, #CrownPrince #MohammedbinSalman arrived in Argentine to head the #Saudi delegation participating in the summit of #G20 leaders. #MBS conveyed to the world the vision of #SaudiArabia and the future of its prosperous economy. https://t.co/dMNDtVzoMn"
"real","#Thailand has halted plans to deport 18-year-old Rahaf al-Qunun back to #Saudi. https://t.co/UUm2kKHEw5"
"real","""Vox Cinemas announced it would be investing $533 million to open 600 theaters in the next five years."" Read more here: https://t.co/6O8Nfg3MAg"
"real","#Saudi-backed broadcaster @mbc_group launches video challenge to @Netflix https://t.co/s5gQ13HqLy via @financialtimes"
"real","KHASHOGGI'S SON LEAVES: Salah Khashoggi has left Saudi Arabia bound for the U.S., reportedly after Turkish official… https://t.co/lDXx78DeUu"
"real","#Dubai and #Saudi builders to grow as 2019 budgets prioritise infrastructure | #construction #SaudiArabia... https://t.co/Ss6pTQLzKA"
"fake","#WashingtonPost scandalized itself after revealing in its investigation that #Khashoggi was spreading propaganda hostile to #SaudiArabia and serving the interests of #Qatar. https://t.co/JSKacRscSv"
"real","Why do #Saudi girls run away? Complicated, but the pace of current social #reform outpaces what some traditional families, especially fathers, can tolerate. The result? More girls - eager to enjoy their new freedoms - challenge suffocating parental control.https://t.co/vlyjFTXrOE"
"fake","Manchester United executives have met with officials in Saudi Arabia against a backdrop of speculation suggesting t… https://t.co/IOlZHBvutG"
"real","This week #Saudi energy minister ⁦@Khalid_AlFalih⁩ told us the country revised its #oil reserves estimate upwards and the kingdom is going all in for #renewableenergy . Wondering what he’ll tell us tomorrow at the ⁦@AtlanticCouncil⁩ energy forum in #AbuDhabi . #OPEC https://t.co/MIixny1ZG2"
"fake","The #Saudi-led coalition stopped Civil and Huamn flights and aggravates the suffering of Yemeni people outside and inside https://t.co/h3nNn3rE5G #EndYemenSiege"
"real","#Netflix criticized for pulling satire episode in #Saudi\nEpisode of #HasanMinhaj's Patriot Act, critical of #Saudi leader, says original praise undue\n\n#MNA_English \n#MNA \n#Anglophones https://t.co/kbICO1SfVN"
"real","18-year-old #Saudi girl granted refugee status https://t.co/hmj2xhAWDb"
"fake","I wonder if Mohammed bin Salman would have invited Jamal Khashoggi to attend the inaugural #SaudiInternational golf tournament?\ncc. @EuropeanTour"
"real","Saudi is aiming for a regional number 1 position in this category. It will save it millions in money and man-hours.\nRead more: https://t.co/PIjScYJLme \n\n#Fasah #Saudi #supplychain #logistics https://t.co/hwHoKC8Uqi"
"real","Saudi Market Daily Report 06/01/2019\nhttps://t.co/b4ejwmrSEx  \n#Tadawul #Tasi #KSA #Saudi https://t.co/E6QT7dEtSe"
"real","Brokerage House Securities was the most active broker by value and volume on the first day of Nasdaq #Dubai #Saudi Futures trading. \nCongratulations! https://t.co/sWuRyk9GYt"
"fake","#MariahCarey performs in Saudi Arabia despite calls for boycott human rights concerns - #SUCHTV https://t.co/ZF50oUWmh3"
"real","As #Khashoggi crisis escalates, Saudi Arabia renews warning to citizens. ""Sharing or spreading rumors or fake news… https://t.co/FXx97KfwhE"
"fake","Saud al-Qahtani, top royal aide for MBS, was present several times when Loujain was tortured. He laughed at her, threatened to rape and kill her and throw her body into the sewage system, Loujain AlHathoul’s sister writes for ⁦@nytopinion⁩ \n https://t.co/ICIRUjM2B8"
"real","Saudi Crown Prince Mohammed bin Salman plans to launch a $425 billion infrastructure plan on Monday https://t.co/DfBWzX2eh6 via @markets"
"real",":: The Kingdom’s Grand Mufti Sheikh Abdul Aziz Al-Asheikh, senior scholars, ministers and a group of citizens called on King Salman on Monday to greet him. The reception began with the... https://t.co/mvIp4pn69k"
"real","The @KSAmofaEN pavilion @AlJanadriaFest is hosting #SDRPY Supervisor @mohdsalj #Saudi Amb. to #Yemen joined by coalition spokesman Col. Turki Al Maliki and Dep. Minister of Information Najeeb Ghallab for a discussion entitled:\nThe Future of Yemen: Development and the Individual https://t.co/5jyvZOes6t"
"fake","#Saudi dissident in #Beirut believes he escaped same fate as #Khashoggi https://t.co/ZCBv7WDSq5 via @MiddleEastEye"
"fake","Saudi Arabia's King Salman very ill, in ICU - reports\n\nhttps://t.co/soeka5hR2N"
"real","#Qatar used #Khashoggi to write articles in #WashingtonPost \nthe articles all were made by Maggie Salem ""Executive director of Qatar foundation"" https://t.co/NKYSiwszar"
"real","A Promotional #Video For #EXO Has Been Revealed In #Saudi At The #World’s Biggest Curved #Screen \n#WeAreOne\n#WeAreOneEXO\n#VisualArtsEXOxKSA\n#VisualArtsEXOxKSAday1\n#اعترافات_اكسوالز https://t.co/4u24OVExn2"
"real","Supervisor of #SDRPY, Ambassador Mohammed Al Jabir welcomed @adammbaron, visiting fellow at the European Council on Foreign Relations and presented by the program staff a brief of the projects in Yemen as well as a review of the #Saudi efforts to support #Yemen economy. https://t.co/BepGFRKifP"
"real","BREAKING: #Saudi General Prosecution said it sent #Turkey two requests asking for evidence related to #JamalKhashoggi killing https://t.co/ZhRbMjMIFF"
"real","#CyberSecurity campaign to spread awareness and training in #Saudi #Arabia’s Jazan region https://t.co/v0aoVAbL6q"
"real","#SaudiArabia’s Crown Prince #MohammedbinSalman has ordered yet another social initiative titled “#SNAD Mohammed bin Salman” program to empower citizens and to help them achieve their socioeconomic goals\n\nhttps://t.co/v9NqoIzyv6 https://t.co/GH9EI2tSvC"
"real","BREAKING: #Saudi General Prosecutor seeks execution of five accused in #JamalKhashoggi killing https://t.co/bbkRDJ5c6p"
"real","A 14-year-old student Abdullah Al-Tuaimi has become the youngest #Saudi to climb Mount Kilimanjaro in Tanzania, the world’s fourth-highest peak https://t.co/ry2yDR0OIs https://t.co/X8kXnAwwcz"
"fake","BREAKING NEWS‼️ \n\nManchester United are not for sale amid reports that the ruler of Saudi Arabia is interested in b… https://t.co/ScNUF9OnSy"
"real","@Smiity646 huge changes happened in saudi Arabia at the era of HRH prince mohammed bin Salman most of them gave women more freedom and work chances"
"real","A #Saudi #Man Cycled All The Way From #Riyadh To #AbuDhabi For The #AFC #Asian #Cup\nhttps://t.co/uDsXdZVhdQ https://t.co/ylgELeKimh"
"real","#Saudi Arabia’s crown prince launches social welfare “SNAD Mohammed bin Salman” program to empower citizens and to help them achieve their socioeconomic goals https://t.co/kOvPvubNbK https://t.co/OgK1qPZile"
"real","#SaudiArabian prosecutors is seeking the death penalty for five of the 11 suspects detained over the murder of journalist #JamalKhashoggi, the state news agency #SPA said on Thursday, as a #Saudi court held a first hearing on the case.\n\n#MNA_English \n#MNA \n#Anglophones"
"real","A 10-year old child was killed in a #Landmine explosion in southern #Saudi Arabia, according to the official SPA news agency on Monday.  \n\n#MNA #MNA_English #Anglophones https://t.co/aTr4pYyTkZ"
"real","The head of #Thailand's immigration police said Monday that a young #Saudi woman who was stopped in #Bangkok as she was trying to travel to Australia to escape alleged abuse by her family will not be sent anywhere against her wishes.\n\nhttps://t.co/1wHRcW8fzX"
"fake","The Saudi people &amp; the world shouldn't fall for this ""entertainment trap"". MBS imprisoned, tortured, &amp; labeled human rights activists like Loujain Alhathloul as foreign agents &amp; traitors, while all they wanted is to get their rights as humans. #FreeLoujain #FreeSaudiActivists https://t.co/Fyg9WASx77"
"fake","Weird to post about Loujain al-Hathloul and her country's gross violation towards human rights on a social media platform owned by a Saudi prince. #humanrights https://t.co/HH3ErHm7c9"
"fake","Targeting Civil Airpots by #Saudi considers violatation of international rules and imposed Blockade after that , is a war crime  https://t.co/m2OLLJ3ru2 #EndYemenSiege"
"real","#Saudi labor reports are now ‘enforceable documents’ . \n\n#MNA #MNA_English #Anglophones https://t.co/0XjtKsYEIq"
"real","FaceOf: Prince Abdullah bin Bandar bin Abdul Aziz, minister of the #Saudi National Guard https://t.co/BGVj1OM13A https://t.co/270OtrsYmT"
"real","Shaker Group and #LG launch new #Saudi manufacturing facility https://t.co/A3VmgvDww9"
"fake","🇬🇧| The clashes between the #Saudi security forces and an organized and heavily armed group in the royal palace in… https://t.co/eF130CEzFd"
"fake","Of Course She is ... , yet @UN has allowed Saudi Arabia @KingSalman  to be on the Human Rights Board What Complete Fucking Joke @UN https://t.co/H6Pq8Isym4"
"fake","Saudi women activists are being held in jail, tortured and threatened with rape. Join the call to celebrities like Jay-Z, Trevor Noah, and more to join the cultural boycott of Saudi Arabia, and bring an end to this crazy crackdown on human rights! https://t.co/CCjWjkI1AW"
"fake","“David Beckham has been warned by human rights campaigners against becoming a tool of propaganda for #Saudi Arabia after it was announced he’s to play exhibition match there...captaining a team vs a side led by ex-French World Cup winner, Zinedine Zidane” https://t.co/JjveNpFII8"
"real","#Saudi teen #RahafAlqunun due to arrive in Canada for asylum.\nhttps://t.co/59c4caAQUy"
"real","What is the Sustainable Agricultural Rural Development Program that Custodian of the Two Holy Mosques King Salman inaugurated? https://t.co/uvZ7KDiRcz"
"fake","🔴Lots of buzz indicating that Saudi King Salman is very ill– possibly on the verge of death. Some report state his… https://t.co/fDalVnXB7j"
"real","Mohammed Hussein al-Amoudi, detained since November 2017 on orders from MbS, has been  released and is now back in Jeddah. Terms of his release, like much else about #Saudi Arabia's anti-corruption campaign, are unclear https://t.co/tres7XMEmT"
"real","The #Saudi #Woman Seeking #Asylum Has Been Granted A #Refugee #Status In #Canada\nhttps://t.co/9PSw9Y9bBk https://t.co/gLvAZVaO17"
"real","Saudi Parliament (#shoura) sets minimal marriage age at 15 for both genders.  With requirement of judicial consent until 18.  Great step for #Saudi.\n\n#girlsnotbrides \n#child #marriage https://t.co/Zze2tQGctA"
"real","#Saudi Contractors Authority to showcase $53-billion #construction projects at #Riyadh event in 2019 🇸🇦 | @SCA2030 |  #منتدى_المشاريع_المستقبلية https://t.co/vEiAobVeIW"
"real","#Saudi adventurer Badr Al-Shibani has set off to climb Vinson Massif, the highest peak in #Antarctica at 4,892 meters, facing temperatures as low as 40 degrees Celsius below zero. https://t.co/xfXobkuAlp https://t.co/I5as7rULBD"
"real",":: King Salman on Monday approved a number of decisions taken by the Saudi Health Council including the establishment of the National Center for Evidence-based Health Practice... https://t.co/BwGjeq5yGD"
"real","The festivities of the #Janadriya festival continue, as #Saudi culture and heritage of all kinds are celebrated in the beautiful 2-week long event. #KSA #SaudiArabia https://t.co/A2uqHT1PAt"
"real","40,000 driving licenses issued to #Saudi women\n\n https://t.co/Z1I0DUZjuy"
"real","Khashoggi was an agent for #Qatar and he was writing their opinion what we don’t know about the agent #Khashoggi !!!!\n\n#حقيقة_عمر_عبدالعزيز_وخاشقجي https://t.co/oPaeBBgNM2"
"fake","supported by Iran and forces of Saudi Arabian prince Mohammed bin Salman using weapons supplied by Trump. Both those things were in the intelligence assessment Trump was deriding, but Trump’s tweets suggested that intelligence officials had overlooked these details and"
"fake","It’s been approximately three months since MBS murdered Jamal Khashoggi.\n@SpeakerPelosi when will he be barred from traveling to America?\nAll the intel shows that he had a hand in his murder. https://t.co/CPEAtlLe66"
"real","Custodian of the Two Holy Mosques King Salman, in his own name and on behalf of the people and government of #SaudiArabia, sent a cable of congratulations to the President of the #swiss Confederation Ueli Maurer on being re-elected to the office  https://t.co/SHXgPHj1y1"
"real","An 18-year-old #Saudi woman who fled her family saying she feared for her life has been granted asylum in #Canada, #Canadian Prime Minister #JustinTrudeau said on Friday, as Thai officials confirmed the teen was en route to #Toronto.\n\n#MNA_English\n#MNA\n#Anglophones https://t.co/hvlZ8R2hlh"
"real","#Saudi Arabia, the world’s biggest crude exporter, trimmed production last month, bringing overall output in #OPEC down 530,000 barrels per day to 32.6 million a day https://t.co/oBSgYNY9co https://t.co/1PZrozUSNu"
"fake","Mohammed bin Salman is running Saudi Arabia like a man who got away with murder https://t.co/HaPVaNVYtk by @SarahAziza1"
"real","Programme to train 45 Saudi students in Oman\n\n#OmanObserver #Oman #Muscat #Khaboura #SaudiArabia #Saudi \n@VCMS_alkhaboura \n\nFull story here https://t.co/fsdQIaQiU2 https://t.co/CXM4EZWJnP"
"real","First Arab to travel into space in 1985 Prince Sultan bin Salman who will lead set up #Saudi Space Agency\n.\n#SaudiArabia 🇸🇦 https://t.co/DY3qCVo8k8"
"real","2018 is a year to be remembered to all Saudis. In 2018 we have witnessed astonishing social changes led by #MBS\n\n#السعودية_في_عام_2018 https://t.co/CoG159WALi"
"real","A #Saudi #Woman Is Under The Care Of The #UnitedNations Following Her Fleeing To #Thailand To 'Seek Asylum'\nhttps://t.co/XO11dYIa8W https://t.co/pVkYyvdCCD"
"fake","At least two saw @saudq1978 in the torture chambers. He's a close advisor to Crown Prince #MBS, and heavily implicated in the murder of #JamalKhashoggi, told at least one detainee: “I’ll do whatever I like to you, and then I’ll dissolve you and flush you down the toilet!” https://t.co/7n1sgJRBNH"
"real","The 1st trial session of the 11 killers of #Saudi journalist #JamalKhashoggi started today.\n\n#EgyptToday\nThe first trial session of the 11 killers of Saudi journalist Jamal Khashoggi started on Thursday."
"real","King Salman receives dignitaries in Riyadh - https://t.co/mvIp4pn69k - https://t.co/Kg5ieuCfOb - RiyadhVision https://t.co/OpGnlxPZCZ"
"fake","#Khashoggi case: Saudi refuses to confirm Qahtani's whereabouts @AJENews  https://t.co/ccfihtAcjv"
"fake","MBS remains in regular contact with 'dismissed' adviser Saud al-Qahtani who is implicated in Khashoggi's murder https://t.co/OSgGcwpBkr https://t.co/gMd5llGOqu"
"fake","Saudi Arabia has ended a sprawling crackdown on corruption ordered by Crown Prince Mohammed bin Salman that it said had recovered more than US$106 billion through settlements with scores of senior princes, ministers and top businessmen. https://t.co/wgJBSII7bM"
"real","Despite the deceitful propaganda warfare waged against him; his economic reforms continue steadily to prove benefiting the #Saudi economy &amp; accelerating its recovery.\n\nEnding up Y2018 as the biggest economy in Middle East with nominal GDP of $769 billion.\n\n#MbS\n#SaudiVision2030 https://t.co/q4cjwHEeCI"
"real","Her papers were not complete and she was stopped at the airport for #violating Thai immigration laws. The #Saudi girl did not have a return reservation or was a member of a tourist program, this straight away required deportation by the #Thai authorities.  https://t.co/UXolPSSZeZ"
"fake","the International Community is demanded to cary its responsibilties and put a pressure on #Saudi to open Sana'a Airport https://t.co/jQLC1xygcE #EndYemenSiege"
"fake","How Saudi Arabia’s anti-corruption crackdown backfired: Last October, Khashoggi was murdered by Saudi agents inside the kingdom's Istanbul consulate, sparking worldwide furor and criticism of Riyadh's human rights record. https://t.co/qhe1I55dVw JPost https://t.co/aNqo9BrZCu"
"real","Time for Ties:\n#Saudi-#Emirati #Security Architectures in the #MENA Region\nThe road towards enhanced security cooperation in the MENA region has been taking shape. \n#FARASUAE #gulf #Egypt #Qatar\nBY Eleonora Ardemagni, @GiuseppeDentice and Umberto Profazio\nhttps://t.co/m3GnYiLblq https://t.co/VWRosWjkYb"
"fake","We honor murdered journalist Jamal Khashoggi by keeping the pressure on Saudi Arabia to respect human rights and free imprisoned voices of conscience. https://t.co/WGrn5eyH22 #JamalKhashoggi #FreeLoujain #FreeRaif #IrwinCotler \n#FreeSamar"
"real","@Uncle_Jimbo Leftists portray the Houthis who kill children or use them as soldiers as heroes. Yet leftists portray Saudi/MBS who are trying to destroy terrorism in Yemen to SAVE children as villains. This is the testimony of a French lady who witnessed what Saudi does, &amp; what Houthis do. https://t.co/tx6iymALkV"
"real","#Saudi Crown Prince Mohammed bin Salman plans to launch a $425 billion infrastructure plan on Monday by @A_DiPaola17 https://t.co/jmSXwMpCZC via @markets"
"real","#Thai police: #Canada, #Australia willing to accept #Saudi woman - https://t.co/zuik7IxwIK https://t.co/EJu3I79ZTa"
"real","@sploach @cnni #Thailand said they may return her to her family who lives in #Kuwait, no one mentioned #SaudiaArabia or MBS"
"fake","Mariah Carey performs in Saudi Arabia despite calls for boycott over human rights concerns https://t.co/yPzqtZKNWv"
"real","#Saudi Arabia has pledged to raise its literacy rate from 94.4 percent to 100 percent in the near future https://t.co/7OldEATOJw https://t.co/RZHeRRXPY5"
"real","#Saudi crown prince to visit Pakistan; $14b investment expected - Daily Times https://t.co/HJKWb8Kk3J via @dailytimespak"
"fake","After shooting outside palace, Saudi Arabia outlines new drone regulations: On Saturday night, palace guards shot d… https://t.co/ZehHqHLgBs"
"real","Most of #Khashoggi speech and articles which been done by #Qatar and #WashingtonPost, was talked about the Muslims brothers and support them https://t.co/cGHFZ1AUtc"
"real","#Qatar was use #Khashoggi life for their goals by giving him money, and this was happen with cooperation with  #WashingtonPost https://t.co/ioDyOQ1YuZ"
